username,average_nreactions
9to5mac,107.5
BBCNews,169.0754716981132
BBCWorld,344.68333333333334
BreitbartNews,498.8333333333333
BusinessInsider,107.5
CBSNews,152.0
CNET,82.5
CNN,434.0810810810811
CTVNews,100.875
CityNews,86.0
DailyMailUK,104.375
FT,86.66666666666667
FourFourTwo,141.0
FoxNews,257.9375
GazetteNGR,116.64285714285714
Gizmodo,82.66666666666667
HarvardBiz,129.67391304347825
Inc,86.36363636363636
Independent,94.6
IndianExpress,102.88888888888889
MarketWatch,80.66666666666667
NBCNews,161.2093023255814
PulseGhana,109.53846153846153
SaharaReporters,240.6818181818182
ScienceNews,85.875
SkyCricket,124.0
SkySportsPL,621.0
StandardKenya,68.0
TMZ,122.56756756756756
TechCrunch,69.0
TorontoStar,94.0
WIRED,216.84615384615384
engadget,86.0
globalnews,68.0
guardian,148.08527131782947
mashable,83.0
nationalpost,99.0
nypost,173.26857142857142
people,126.41176470588235
politico,149.5
thecableng,126.33333333333333
vanguardngrnews,113.26086956521739
verge,139.95652173913044
