Publication Name,Filter,Publication Handle,Publication Profile Image,Publication Web URL,Publication Country,Publication Primary Colour,Publication Secondary Colour
VentureBeat,No,VentureBeat,https://pbs.twimg.com/profile_images/1268192121477046272/oxLhAY5V_normal.jpg,www.venturebeat.com,US,#111111,#ffffff
Forbes Tech,No,ForbesTech,https://pbs.twimg.com/profile_images/1125882177303011330/UiIzccX9_normal.png,www.forbes.com,US,#333333,#ffffff
Crunchbase News,No,crunchbasenews,https://pbs.twimg.com/profile_images/1031675362978086912/THsidRFn_normal.jpg,www.news.crunchbase.com/,US,#336cc6,#ffffff
TechCrunch,No,TechCrunch,https://pbs.twimg.com/profile_images/1096066608034918401/m8wnTWsX_normal.png,www.techcrunch.com,US,#fefffe,#000000
BBC News Technology,No,bbctech,https://pbs.twimg.com/profile_images/1150686790967316481/lQA-Lcrj_normal.png,www.bbc.co.uk/technology,UK,#b80000,#ffffff
The Verge,No,verge,https://pbs.twimg.com/profile_images/877903823133704194/Mqp1PXU8_normal.jpg,www.theverge.com,US,#000000,#ffffff
Nairametrics,No,Nairametrics,https://pbs.twimg.com/profile_images/1216314095428870145/QCJufoXP_normal.png,www.nairametrics.com,NG,#253b94,#ffffff
Engadget,No,engadget,https://pbs.twimg.com/profile_images/655059892022022144/Pq3Q_1oU_normal.png,www.engadget.com,US,#000000,#ffffff
Disrupt Africa,No,DisruptAfrica,https://pbs.twimg.com/profile_images/527787642058846209/1O-O7PKF_normal.jpeg,www.disrupt-africa.com,KE,#000000,#ffffff
ReadWrite,No,RWW,https://pbs.twimg.com/profile_images/806200860837449728/hBIS-Ct-_normal.jpg,www.readwrite.com,US,#fffeff,#000000
Entrepreneur,No,Entrepreneur,https://pbs.twimg.com/profile_images/474753665970868224/GcoCzmcI_normal.jpeg,www.entrepreneur.com,US,#282a29,#ffffff
No Camels,No,NoCamels,https://pbs.twimg.com/profile_images/1252892168940933120/YN6RhmqO_normal.jpg,www.nocamels.com,IL,#fffeff,#000000
WSJ Venture Capital,No,WSJVC,https://pbs.twimg.com/profile_images/952869652887166978/H01cjFOh_normal.jpg,www.wsj.com/pro/venture-capital,US,#1a2e35,#ffffff
Recode,No,Recode,https://pbs.twimg.com/profile_images/729365899828989952/o0AuZCNW_normal.jpg,www.vox.com/recode,US,#fefefe,#000000
CNET,No,CNET,https://pbs.twimg.com/profile_images/1272576526182039553/2wNFGvT1_normal.png,www.cnet.com,US,#dc0b03,#ffffff
Tech in Asia,No,techinasia,https://pbs.twimg.com/profile_images/905656014090903552/yDro07xm_normal.jpg,www.techinasia.com,HK,#c11720,#ffffff
TOI Start-Up Israel,No,TOIStartup,https://pbs.twimg.com/profile_images/458541985641410560/L3SrRUbF_normal.png,www.timesofisrael.com/start-up-israel,IL,#e7e7e4,#000000
ETtech,No,ETtech,https://pbs.twimg.com/profile_images/575894751460782080/Ev0bdIoX_normal.jpeg,https://economictimes.indiatimes.com/tech,IN,#242021,#ffffff
Sifted,No,Siftedeu,https://pbs.twimg.com/profile_images/1065965876678221829/KJ3RFt3s_normal.jpg,www.sifted.eu,UK,#dc085c,#ffffff
AfroTech,No,afrotech,https://pbs.twimg.com/profile_images/1031933086429151232/qmZviLAH_400x400.jpg,https://afrotech.com/,US,,
TechCabal,No,TechCabal,https://pbs.twimg.com/profile_images/1346094517930385408/067pjB2w_400x400.jpg,https://techcabal.com/,NG,,
Kenyan Wallstreet,No,kenyanwalstreet,https://pbs.twimg.com/profile_images/1093022469856944130/y78rrbbe_400x400.jpg,https://kenyanwallstreet.com/,KE,,
Independent Nigeria,No,IndependentNGR,https://pbs.twimg.com/profile_images/968831466422534145/V7l9Lta7_400x400.jpg,https://independent.ng/,NG,,
BBC News (World),Yes,bbcworld,https://pbs.twimg.com/profile_images/1150717770478379008/8-XiwK-s_normal.png,www.bbc.co.uk/news/world,UK,#b90001,#ffffff
CNN,Yes,cnn,https://pbs.twimg.com/profile_images/1278259160644227073/MfCyF7CG_normal.jpg,www.cnn.com,US,#cd1316,#ffffff
Fox News,Yes,foxnews,https://pbs.twimg.com/profile_images/918480715158716419/4X8oCbge_normal.jpg,www.foxnews.com,US,#fbffff,#000000
BBC News (UK),Yes,bbcnews,https://pbs.twimg.com/profile_images/1150718511129477120/2N_GW7HR_normal.png,www.bbc.co.uk/news,UK,#b90001,#ffffff
The Indian Express,Yes,indianexpress,https://pbs.twimg.com/profile_images/1064599601553047558/s09zzXz4_normal.jpg,www.indianexpress.com,IN,#fb191d,#ffffff
CTV News,Yes,ctvnews,https://pbs.twimg.com/profile_images/1113055141761073153/9gjeEtmz_normal.png,www.ctvnews.ca,CA,#feffff,#000000
Pulse Ghana,Yes,pulseghana,https://pbs.twimg.com/profile_images/998591058261901312/vgdmk9ls_normal.jpg,www.pulse.com.gh,GH,#fffeff,#000000
Science News,Yes,ScienceNews,https://pbs.twimg.com/profile_images/1210648820541018113/j4qqEa6F_normal.png,www.sciencenews.org,US,#176cab,#ffffff
TNW,Yes,thenextweb,https://pbs.twimg.com/profile_images/1306571874000830464/AZtkNMd-_normal.png,www.thenextweb.com,NE,#000000,#ffffff
Harvard Business Review,Yes,HarvardBiz,https://pbs.twimg.com/profile_images/1249778961229516806/8v45jDln_normal.png,www.hbr.org,US,#040707,#ffffff
People,Yes,people,https://pbs.twimg.com/profile_images/703345483218067456/waTSntUG_normal.jpg,www.people.com,US,#28c4ff,#ffffff
WIRED,Yes,WIRED,https://pbs.twimg.com/profile_images/1228050699348561920/YvWAQD2L_normal.jpg,www.wired.com,US,#000000,#ffffff
BBC Health News,Yes,bbchealth,https://pbs.twimg.com/profile_images/1271451625094287361/cM8IJMad_normal.jpg,www.bbc.co.uk/news/health,UK,#bb0000,#ffffff
POLITICO,Yes,politico,https://pbs.twimg.com/profile_images/677177503694237697/y6yTzWn6_normal.png,www.politico.com,US,#ce181e,#ffffff
HollywoodLife,No,HollywoodLife,https://pbs.twimg.com/profile_images/966087021805690881/B842iRdT_400x400.jpg,https://hollywoodlife.com/,US,,
The Hollywood Reporter,No,THR,https://pbs.twimg.com/profile_images/528317230367268865/Po8lHinI_400x400.jpeg,https://www.hollywoodreporter.com/,US,,
GiveMeSport,No,GiveMeSport,https://pbs.twimg.com/profile_images/1199269906723885056/iCpZmOvP_400x400.jpg,https://www.givemesport.com/,UK,,
The New York Times,No,nytimes,https://pbs.twimg.com/profile_images/1098244578472280064/gjkVMelR_400x400.png,https://www.nytimes.com/,US,,
Deadline Hollywood,No,DEADLINE,https://pbs.twimg.com/profile_images/1410736028814516233/A6tCL_Ar_400x400.jpg,https://deadline.com/,US,,
AP Sports,No,AP_Sports,https://pbs.twimg.com/profile_images/2249747844/160X160_LOGO_400x400.JPG,https://apnews.com/hub/sports,US,,
Nation Breaking News,No,NationBreaking,https://pbs.twimg.com/profile_images/1299964877474332673/Kboq5sTw_400x400.jpg,https://nation.africa/kenya,KE,,
The Babylon Bee,No,TheBabylonBee,https://pbs.twimg.com/profile_images/1400100770624720898/-HC7kL5x_400x400.jpg,https://linktr.ee/BabylonBee,,,
Sky Sports News,No,SkySportsNews,https://pbs.twimg.com/profile_images/1346184104346267648/DMeDS04X_400x400.jpg,https://www.skysports.com/,UK,,
BBC Sport,No,BBCSport,https://pbs.twimg.com/profile_images/968086146180886528/P_nvzGw__400x400.jpg,https://www.bbc.co.uk/sport,Uk,,
Peoples Gazette,No,GazetteNGR,https://pbs.twimg.com/profile_images/1345678399289831425/rWnxeytx_400x400.jpg,https://gazettengr.com/,NG,,
Sahara Reporters,No,SaharaReporters,https://pbs.twimg.com/profile_images/484178487360499712/LeRpr7xQ_400x400.png,http://saharareporters.com/,US,,
