conversation_id,date,hashtags,id,language,link,name,nlikes,nreplies,nretweets,photos,retweet,source,thumbnail,tweet,twitter_handle,urls,username,video,run_time,time_since_tweet,total,average_nreactions,cut_off
1400095572082761730,2021-06-02 15:22:51,[],1400095572082761730,en,https://twitter.com/GazetteNGR/status/1400095572082761730,Peoples Gazette,36,5,19,[],False,,,Bill to end HND-Bachelors degree dichotomy passed  https://t.co/jSGnOokIIY,gazettengr,['https://gazettengr.com/bill-to-end-hnd-bachelors-degree-dichotomy-passed/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost'],GazetteNGR,0,2021-06-02 16:02:48,39.95,60,116.64285714285714,93.31428571428572
1400097495976456192,2021-06-02 15:30:30,[],1400097495976456192,en,https://twitter.com/politico/status/1400097495976456192,POLITICO,18,11,8,['https://pbs.twimg.com/media/E24lQNfXMAEimTJ.jpg'],False,,https://pbs.twimg.com/media/E24lQNfXMAEimTJ.jpg,"The military’s “wish lists” outline needs for more aircraft, helos and ships if Congress boosts the defense budget  https://t.co/BhuHBQxEv2  https://t.co/rGmX0d1ZlN",politico,['https://politi.co/3vWYWRv'],politico,1,2021-06-02 16:02:48,32.3,37,149.5,119.6
1400097934327402500,2021-06-02 15:32:14,[],1400097934327402500,en,https://twitter.com/BreitbartNews/status/1400097934327402500,Breitbart News,38,16,10,[],False,,,Good grief.  https://t.co/R355kibJeZ,breitbartnews,['https://trib.al/5gnGVjN'],BreitbartNews,0,2021-06-02 16:02:48,30.566666666666666,64,498.8333333333333,399.06666666666666
1400096078465208325,2021-06-02 15:24:52,[],1400096078465208325,en,https://twitter.com/CTVNews/status/1400096078465208325,CTV News,11,7,7,[],False,,,"Deaths from COVID-19 reduced Canadian life expectancy at birth by 0.41 years, Statistics Canada estimates  https://t.co/ftK9Nki8nL",ctvnews,['https://www.ctvnews.ca/health/coronavirus/pandemic-cut-short-canadian-life-expectancy-by-5-months-statcan-says-1.5452901'],CTVNews,0,2021-06-02 16:02:48,37.93333333333333,25,100.875,80.7
1400096140809342984,2021-06-02 15:25:07,[],1400096140809342984,en,https://twitter.com/CTVNews/status/1400096140809342984,CTV News,34,1,8,['https://pbs.twimg.com/media/E24kBTLXEAABO3L.jpg'],False,,https://pbs.twimg.com/media/E24kBTLXEAABO3L.jpg,MLB recognizes Lou Gehrig Day for ALS Awareness Month  https://t.co/lKxwi5545M  https://t.co/t6o7QIFj3h,ctvnews,['http://bit.ly/3uDAz9S'],CTVNews,1,2021-06-02 16:02:48,37.68333333333333,43,100.875,80.7
1400097435138015235,2021-06-02 15:30:15,[],1400097435138015235,en,https://twitter.com/CTVNews/status/1400097435138015235,CTV News,1,0,1,['https://pbs.twimg.com/media/E24lMndWEAAqp3Q.jpg'],False,,https://pbs.twimg.com/media/E24lMndWEAAqp3Q.jpg,"Zverev keeps it short, advances to 3rd round at French Open  https://t.co/uZqk9Gl63m  https://t.co/efVXtrHsKQ",ctvnews,['https://www.ctvnews.ca/sports/zverev-keeps-it-short-advances-to-3rd-round-at-french-open-1.5452837?cid=sm%3Atrueanthem%3A%7B%7Bcampaignname%7D%7D%3Atwitterpost%E2%80%8B&taid=60b795f7ca44bd000180bebd&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter'],CTVNews,1,2021-06-02 16:02:48,32.55,2,100.875,80.7
1400095190099111943,2021-06-02 15:21:20,[],1400095190099111943,en,https://twitter.com/CTVNews/status/1400095190099111943,CTV News,27,0,3,[],False,,,'We want to see them together as long as possible': Pair of old wild dogs reunited by Alberta rescue group  https://t.co/S0TXOuBQab,ctvnews,['https://calgary.ctvnews.ca/we-want-to-see-them-together-as-long-as-possible-pair-of-old-wild-dogs-reunited-by-alberta-rescue-group-1.5452422'],CTVNews,0,2021-06-02 16:02:48,41.46666666666667,30,100.875,80.7
1400096264226672641,2021-06-02 15:25:36,[],1400096264226672641,en,https://twitter.com/IndianExpress/status/1400096264226672641,The Indian Express,19,0,2,[],False,,,"According to the police, the accused was shot in the leg while a head constable also sustained injuries.  https://t.co/hdKTwCWQu3",indianexpress,['https://bit.ly/3vLQPH1'],IndianExpress,0,2021-06-02 16:02:48,37.2,21,102.88888888888889,82.3111111111111
1400097203725783042,2021-06-02 15:29:20,[],1400097203725783042,en,https://twitter.com/vanguardngrnews/status/1400097203725783042,Vanguard Newspapers,42,21,22,[],False,,,JUST IN: DSS arrests gov's aide for inciting Nigerians against Buhari   https://t.co/QWT2GbrEDf,vanguardngrnews,['https://community.vanguardngr.com/forum/topics/just-in-dss-arrests-gov-s-aide-for-inciting-nigerians-against'],vanguardngrnews,0,2021-06-02 16:02:48,33.46666666666667,85,113.2608695652174,90.60869565217392
1400095420349485060,2021-06-02 15:22:15,['vanguardnews'],1400095420349485060,en,https://twitter.com/vanguardngrnews/status/1400095420349485060,Vanguard Newspapers,29,7,11,['https://pbs.twimg.com/media/E24jXWtVkAUD3rc.jpg'],False,,https://pbs.twimg.com/media/E24jXWtVkAUD3rc.jpg,"2023: Reconsider your ambition, allow Osinbajo to contest, APC Group tells Tinubu  https://t.co/zx12eq3MTy #vanguardnews  https://t.co/52nH1oXr9d",vanguardngrnews,['https://www.vanguardngr.com/2021/06/2023-reconsider-your-ambition-allow-osinbajo-to-contest-apc-group-tells-tinubu/?utm_source=dlvr.it&utm_medium=twitter'],vanguardngrnews,1,2021-06-02 16:02:48,40.55,47,113.2608695652174,90.60869565217392
